pdb_id,uniprot_id,asd90,allosite,passer_ensemble,allo,allositepro,allopred,passer_automl,passer_rank
2VD4,P43889,False,False,False,False,False,False,True,True
2VGI,P30613,True,True,True,False,False,False,False,False
2VJY,Q12629,False,False,False,False,False,False,True,True
2VPR,P51561,False,False,False,True,True,True,True,True
2VVT,Q836J0,False,False,False,False,False,False,True,True
2W4I,Q9ZLT0,False,False,False,False,True,True,False,False
2WU1,P0A759,False,False,False,False,True,True,False,False
2X1L,A0R3E2,True,True,True,False,False,False,False,False
2XJC,P49902,False,False,False,True,True,True,False,False
2XO8,P08799,True,True,True,False,False,False,False,False
2XTA,A0R2B1,False,False,False,False,False,False,True,True
2Y0P,A0R2B1,False,False,False,True,True,True,False,False
2YC3,P69834,True,True,True,False,False,False,False,False
2YC5,P69834,False,False,False,False,False,False,True,True
2YHD,P10275,False,False,False,True,True,True,False,False
2YLO,P10275,False,False,False,True,True,False,False,False
2ZMF,Q9Y233,True,True,True,False,True,False,True,True
3AO1,Q72498,True,True,True,False,False,False,False,False
3ATH,O57946,False,False,False,False,False,False,True,True
3AUY,Q58718,False,False,False,False,False,False,True,True
3BEO,A0A348ACF3,True,True,True,False,False,False,True,True
3BRK,P39669,False,False,False,False,False,False,True,True
3BZ7,P08799,False,False,False,True,True,False,False,False
3C35,P22756,False,False,False,False,False,False,True,True
3CMW,P0A7G6,False,False,False,False,False,False,True,True
3CQD,P06999,True,True,True,False,False,False,False,False
3CSM,P32178,False,False,False,False,True,True,False,False
3D2F,P32589,False,False,False,False,False,False,True,True
3D2P,Q5FAK7,False,False,False,False,False,False,True,True
3DBA,P52731,False,False,False,False,False,False,True,True
3DC2,P9WNX3,False,False,False,False,True,True,False,False
3E3I,P45148,False,False,False,False,False,False,True,True
3E5U,B8FW11,False,False,False,False,True,True,False,False
3E6C,B8FW11,False,False,False,False,False,False,True,True
3EEB,Q9KS12,False,False,False,False,False,False,True,True
3EPS,Q8X607,True,True,True,True,True,True,True,True
3ETD,P00366,False,False,False,False,False,False,True,True
3ETE,P00366,False,False,False,False,True,True,False,False
3ETG,P00366,False,False,False,False,True,False,False,False
3ETL,P0CW58,False,False,False,False,False,False,True,True
3ETQ,O88703,False,False,False,False,False,False,True,True
3F1O,Q99814,False,False,False,False,False,False,True,True
3F3V,P00523,True,True,True,False,False,False,False,False
3F6G,Q8F3Q1,True,True,True,True,True,True,False,False
3F6H,Q8F3Q1,False,False,False,False,False,False,True,True
3F78,P20701,False,False,False,False,False,False,True,True
3F9N,O14757,False,False,False,True,True,True,False,False
3FIG,P9WQB3,True,True,True,False,False,False,False,False
3FUD,P09960,False,False,False,False,False,False,True,True
3FZY,Q9KS12,True,True,True,False,False,False,False,False
3G86,P26663,False,False,False,True,True,False,False,False
3GCD,Q9KS12,False,False,False,False,True,True,False,False
3GCP,Q16539,True,True,True,False,False,False,False,False
3GR4,P14618,True,True,True,False,False,False,False,False
3GVU,P42684,True,True,True,False,False,False,False,False
3H1V,P35557,False,False,False,True,True,True,False,False
3H30,P68400,True,True,True,True,True,True,True,True
3H6O,P14618,False,False,False,True,True,True,False,False
3HL8,P04995,False,False,False,False,False,False,True,True
3HNC,P23921,False,False,False,False,True,True,False,False
3HO6,P16154,False,False,False,False,True,True,False,False
3HO8,A0A0H3JRU9,True,True,True,False,True,True,False,False
3HV8,Q9HUK6,True,True,True,False,False,False,True,True
3I0R,P04585,True,True,True,False,False,False,False,False
3IAD,Q08499,True,True,True,False,False,False,True,True
3IDB,P05132,True,True,True,False,False,False,False,False
3IDB,P12369,True,True,True,False,False,False,False,False
3IFA,O00757,False,False,False,False,True,True,False,False
3IJG,P14174,True,True,True,False,False,False,True,True
3IRH,Q836G9,True,True,True,False,True,True,False,False
3IYD,P0ACJ8,True,True,True,False,False,False,False,False
3JVS,O14757,False,False,False,False,False,False,True,True
3K8S,P37231,False,False,False,False,False,False,True,True
3KC1,P09467,False,False,False,False,False,False,True,True
3KCG,P01008,False,False,False,True,True,True,False,False
3KF0,P12499,False,False,False,True,True,True,False,False
3KGF,O53512,False,False,False,True,True,True,False,False
3KH5,Q58622,False,False,False,False,False,False,True,True
3KJF,P42574,False,False,False,False,False,False,True,True
3L3V,Q72498,False,False,False,True,True,True,False,False
3L76,P74569,False,False,False,False,False,False,True,True
3LA3,P0A4U6,False,False,False,False,False,False,True,True
3LAJ,P9WPY9,False,False,False,True,True,True,False,False
3LAP,P9WPY9,False,False,False,False,False,False,True,True
3LSW,P19492,False,False,False,True,True,True,False,False
3LU6,P02768,False,False,False,True,True,False,False,False
3LW0,P08069,False,False,False,False,True,True,False,False
3M6F,P20701,False,False,False,True,True,False,False,False
3MJX,P08799,False,False,False,False,False,False,True,True
3MK6,Q9H999,True,True,True,False,False,False,False,False
3MKS,P07834,True,True,True,True,True,True,True,True
3MWB,A1R118,False,False,False,False,True,True,True,True
3MZH,P9WMH3,False,False,False,False,False,False,True,True
3N1V,P14324,False,False,False,True,True,True,True,True
3NAX,O15530,False,False,False,False,False,False,True,True
3NF7,P12497,False,False,False,False,False,False,True,True
3NJQ,P88911,True,True,True,False,False,False,False,False
3NUD,O53512,False,False,False,False,False,False,True,True
3O2M,P45983,True,True,True,True,True,True,False,False
3O96,P31749,False,False,False,True,True,True,False,False
3OC1,Q16539,False,False,False,False,False,False,True,True
3OF1,P07278,False,False,False,False,False,False,True,True
3OS8,P03372,True,True,True,False,False,False,False,False
3PA8,Q189K3,False,False,False,False,False,False,True,True
3PDT,P42527,False,False,False,False,False,False,True,True
3PEE,Q189K3,True,True,True,False,False,False,False,False
3PG9,Q9WYH8,False,False,False,True,True,True,True,True
3PJG,A0A0J9WZA6,True,True,True,True,True,True,True,True
3PMA,P00735,False,False,False,False,True,True,False,False
3PNA,P00514,False,False,False,False,False,False,True,True
3PP1,Q02750,False,False,False,False,False,False,True,True
3PTZ,O60701,True,True,True,False,True,True,True,True
3PXF,P24941,False,False,False,True,True,True,False,False
3PYY,P00519,False,False,False,False,True,True,False,False
3QAK,P29274,False,False,False,False,False,False,True,True
